=== events -A (recent) ===
NAMESPACE   LAST SEEN   TYPE      REASON                    OBJECT                                                        MESSAGE
rook-ceph   54m         Normal    Pulled                    pod/rook-ceph-crashcollector-hks-worker-2-559dd7dcc4-m4dxf    Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   54m         Normal    Created                   pod/rook-ceph-mgr-b-ccc554489-sdsr6                           Container created
rook-ceph   54m         Normal    Started                   pod/rook-ceph-mgr-b-ccc554489-sdsr6                           Container started
rook-ceph   53m         Normal    ScalingReplicaSet         deployment/rook-ceph-exporter-hks-worker-1                    Scaled up replica set rook-ceph-exporter-hks-worker-1-74d57c7b95 from 0 to 1
rook-ceph   53m         Normal    Scheduled                 pod/rook-ceph-crashcollector-hks-worker-1-66b67fd8bc-wgrd4    Successfully assigned rook-ceph/rook-ceph-crashcollector-hks-worker-1-66b67fd8bc-wgrd4 to hks-worker-1
rook-ceph   53m         Normal    ScalingReplicaSet         deployment/rook-ceph-crashcollector-hks-worker-1              Scaled up replica set rook-ceph-crashcollector-hks-worker-1-66b67fd8bc from 0 to 1
rook-ceph   53m         Normal    SuccessfulCreate          replicaset/rook-ceph-crashcollector-hks-worker-1-66b67fd8bc   Created pod: rook-ceph-crashcollector-hks-worker-1-66b67fd8bc-wgrd4
rook-ceph   53m         Normal    SuccessfulCreate          replicaset/rook-ceph-exporter-hks-worker-1-74d57c7b95         Created pod: rook-ceph-exporter-hks-worker-1-74d57c7b95-7pqpq
rook-ceph   53m         Normal    Scheduled                 pod/rook-ceph-exporter-hks-worker-1-74d57c7b95-7pqpq          Successfully assigned rook-ceph/rook-ceph-exporter-hks-worker-1-74d57c7b95-7pqpq to hks-worker-1
rook-ceph   53m         Normal    Started                   pod/rook-ceph-crashcollector-hks-worker-1-66b67fd8bc-wgrd4    Container started
rook-ceph   53m         Normal    Started                   pod/rook-ceph-exporter-hks-worker-1-74d57c7b95-7pqpq          Container started
rook-ceph   53m         Normal    Created                   pod/rook-ceph-exporter-hks-worker-1-74d57c7b95-7pqpq          Container created
rook-ceph   53m         Normal    Pulled                    pod/rook-ceph-exporter-hks-worker-1-74d57c7b95-7pqpq          Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   53m         Normal    Pulled                    pod/rook-ceph-crashcollector-hks-worker-1-66b67fd8bc-wgrd4    Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   53m         Normal    Created                   pod/rook-ceph-crashcollector-hks-worker-1-66b67fd8bc-wgrd4    Container created
rook-ceph   53m         Normal    Pulled                    pod/rook-ceph-exporter-hks-worker-1-74d57c7b95-7pqpq          Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   53m         Normal    Created                   pod/rook-ceph-exporter-hks-worker-1-74d57c7b95-7pqpq          Container created
rook-ceph   53m         Normal    Pulled                    pod/rook-ceph-crashcollector-hks-worker-1-66b67fd8bc-wgrd4    Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   53m         Normal    Created                   pod/rook-ceph-crashcollector-hks-worker-1-66b67fd8bc-wgrd4    Container created
rook-ceph   53m         Normal    Started                   pod/rook-ceph-crashcollector-hks-worker-1-66b67fd8bc-wgrd4    Container started
rook-ceph   53m         Normal    Created                   pod/rook-ceph-exporter-hks-worker-1-74d57c7b95-7pqpq          Container created
rook-ceph   53m         Normal    Started                   pod/rook-ceph-exporter-hks-worker-1-74d57c7b95-7pqpq          Container started
rook-ceph   53m         Normal    Started                   pod/rook-ceph-exporter-hks-worker-1-74d57c7b95-7pqpq          Container started
rook-ceph   53m         Normal    Pulled                    pod/rook-ceph-exporter-hks-worker-1-74d57c7b95-7pqpq          Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   53m         Normal    Pulled                    pod/rook-ceph-crashcollector-hks-worker-1-66b67fd8bc-wgrd4    Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   53m         Normal    Created                   pod/rook-ceph-crashcollector-hks-worker-1-66b67fd8bc-wgrd4    Container created
rook-ceph   53m         Normal    Started                   pod/rook-ceph-crashcollector-hks-worker-1-66b67fd8bc-wgrd4    Container started
rook-ceph   53m         Normal    Scheduled                 pod/rook-ceph-osd-prepare-hks-worker-1-kn9nc                  Successfully assigned rook-ceph/rook-ceph-osd-prepare-hks-worker-1-kn9nc to hks-worker-1
rook-ceph   53m         Normal    SuccessfulCreate          job/rook-ceph-osd-prepare-hks-worker-1                        Created pod: rook-ceph-osd-prepare-hks-worker-1-kn9nc
rook-ceph   53m         Normal    Scheduled                 pod/rook-ceph-osd-prepare-hks-worker-2-k5g2p                  Successfully assigned rook-ceph/rook-ceph-osd-prepare-hks-worker-2-k5g2p to hks-worker-2
rook-ceph   53m         Normal    SuccessfulCreate          job/rook-ceph-osd-prepare-hks-worker-2                        Created pod: rook-ceph-osd-prepare-hks-worker-2-k5g2p
rook-ceph   53m         Normal    Pulled                    pod/rook-ceph-osd-prepare-hks-worker-2-k5g2p                  Container image "docker.io/rook/ceph:v1.19.3" already present on machine and can be accessed by the pod
rook-ceph   53m         Normal    Created                   pod/rook-ceph-osd-prepare-hks-worker-2-k5g2p                  Container created
rook-ceph   53m         Normal    Pulled                    pod/rook-ceph-osd-prepare-hks-worker-1-kn9nc                  Container image "docker.io/rook/ceph:v1.19.3" already present on machine and can be accessed by the pod
rook-ceph   53m         Normal    Started                   pod/rook-ceph-osd-prepare-hks-worker-1-kn9nc                  Container started
rook-ceph   53m         Normal    SuccessfulCreate          job/rook-ceph-osd-prepare-hks-worker-3                        Created pod: rook-ceph-osd-prepare-hks-worker-3-vkbkp
rook-ceph   53m         Normal    Pulled                    pod/rook-ceph-osd-prepare-hks-worker-1-kn9nc                  Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   53m         Normal    Created                   pod/rook-ceph-osd-prepare-hks-worker-1-kn9nc                  Container created
rook-ceph   53m         Normal    Started                   pod/rook-ceph-osd-prepare-hks-worker-1-kn9nc                  Container started
rook-ceph   53m         Normal    Created                   pod/rook-ceph-osd-prepare-hks-worker-1-kn9nc                  Container created
rook-ceph   53m         Normal    Scheduled                 pod/rook-ceph-osd-prepare-hks-worker-3-vkbkp                  Successfully assigned rook-ceph/rook-ceph-osd-prepare-hks-worker-3-vkbkp to hks-worker-3
rook-ceph   53m         Normal    Started                   pod/rook-ceph-osd-prepare-hks-worker-2-k5g2p                  Container started
rook-ceph   53m         Normal    Created                   pod/rook-ceph-osd-prepare-hks-worker-3-vkbkp                  Container created
